pk_interaction,fk_client,fk_produit,fk_canal,fk_type_transaction,fk_gestionnaire,fk_compte,fk_statut,fk_date,montant_transaction,frais_transaction,solde,nombre_operations,date_interaction
37,9093651530,23,1,11,20011,45218034198,1,2024-12-20,0,0,282702,1,2024-12-20
38,9093651530,11,1,5,20011,45218034198,1,2026-09-20,200810,2460,282702,1,2026-09-20
39,9093651530,30,1,8,20011,45218034198,1,2025-09-14,429215,3105,282702,1,2025-09-14
40,9093651530,20,1,3,20011,45218034198,1,2026-06-19,3263386,32515,282702,1,2026-06-19
41,9093651530,20,1,3,20011,82170684552,1,2026-07-20,4504823,49586,2710570,1,2026-07-20
42,9093651530,14,2,2,20011,82170684552,1,2025-09-02,357520,1593,2710570,1,2025-09-02
43,9093651530,2,2,2,20011,82170684552,1,2025-07-08,185887,3624,2710570,1,2025-07-08
44,9093651530,22,1,10,20011,45218034198,1,2025-10-05,0,0,282702,1,2025-10-05
45,9093651530,13,1,1,20011,82170684552,1,2026-06-09,1435682,737,2710570,1,2026-06-09
46,9093651530,32,2,8,20011,45218034198,1,2026-08-27,110105,1520,282702,1,2026-08-27
47,9093651530,32,2,8,20011,82170684552,2,2025-03-03,201152,142,2710570,1,2025-03-03
48,8024025962,9,2,10,20043,31206459284,1,2024-09-23,0,0,180361,1,2024-09-23
49,8024025962,6,2,10,20043,31206459284,1,2026-02-25,0,0,180361,1,2026-02-25
50,7811943504,2,2,4,20065,97389776196,1,2026-02-09,1774745,14486,111376,1,2026-02-09
51,7811943504,22,1,10,20065,97389776196,1,2026-07-26,0,0,111376,2,2026-07-26
52,7811943504,24,2,13,20065,22402880963,1,2025-11-18,1473596,3540,0,1,2025-11-18
53,7811943504,31,2,8,20065,22402880963,1,2024-11-12,508895,6569,0,1,2024-11-12
54,7811943504,20,1,10,20065,22402880963,1,2024-01-31,0,0,0,1,2024-01-31
55,7811943504,20,1,5,20065,22402880963,1,2025-12-05,266389,2006,0,1,2025-12-05
56,7811943504,14,1,8,20065,97389776196,1,2026-06-20,77603,746,111376,1,2026-06-20
57,6183963894,12,1,5,20055,35432457507,1,2025-06-24,76562,809,0,1,2025-06-24
58,6183963894,23,1,10,20055,35432457507,1,2026-03-29,0,0,0,1,2026-03-29
59,6183963894,23,1,10,20055,35432457507,1,2026-03-14,0,0,0,1,2026-03-14
60,6183963894,26,2,12,20055,35432457507,1,2024-07-19,54372,311,0,1,2024-07-19
61,6183963894,4,2,10,20055,35432457507,1,2026-04-28,0,0,0,1,2026-04-28
62,6183963894,32,2,3,20055,35432457507,1,2024-05-07,4792451,19531,0,1,2024-05-07
63,6183963894,3,2,2,20055,35432457507,1,2025-08-15,410413,2514,0,1,2025-08-15
64,6183963894,26,2,13,20055,35432457507,3,2025-12-24,1726861,9833,0,1,2025-12-24
65,6183963894,24,2,13,20055,35432457507,1,2026-05-21,1671356,12076,0,1,2026-05-21
66,6183963894,19,1,10,20055,35432457507,1,2025-07-14,0,0,0,1,2025-07-14
67,5108511848,25,2,4,20009,58048652917,1,2025-10-13,4151593,79862,2853573,1,2025-10-13
68,5108511848,23,1,10,20009,58048652917,1,2024-09-06,0,0,2853573,2,2024-09-06
69,5108511848,18,1,6,20009,58048652917,1,2024-06-12,10399,45,2853573,1,2024-06-12
70,5108511848,30,2,8,20009,58048652917,1,2024-11-05,696966,7200,2853573,1,2024-11-05
71,5108511848,32,2,8,20009,58048652917,1,2025-03-26,54565,456,2853573,1,2025-03-26
72,5108511848,28,2,12,20009,58048652917,1,2024-01-25,51875,957,2853573,1,2024-01-25
73,5108511848,25,1,4,20009,58048652917,1,2026-02-02,4414229,27025,2853573,1,2026-02-02
74,5108511848,20,1,10,20009,58048652917,1,2024-12-05,0,0,2853573,1,2024-12-05
75,5108511848,7,2,10,20009,58048652917,1,2025-03-29,0,0,2853573,1,2025-03-29
76,5108511848,28,2,12,20009,58048652917,1,2025-03-11,89815,540,2853573,1,2025-03-11
77,5108511848,1,2,3,20009,58048652917,1,2025-08-27,2299758,24538,2853573,1,2025-08-27
78,5108511848,8,2,10,20009,58048652917,1,2026-06-17,0,0,2853573,1,2026-06-17
79,5108511848,14,1,7,20009,58048652917,1,2024-08-02,351581,3009,2853573,1,2024-08-02
80,5108511848,19,1,3,20009,58048652917,1,2025-03-17,751672,14701,2853573,1,2025-03-17
81,1920544584,6,1,7,20025,34354178096,1,2025-06-05,78445,118,122615,1,2025-06-05
82,1920544584,8,1,7,20025,34354178096,1,2026-01-18,384612,3915,122615,1,2026-01-18
83,1920544584,17,1,5,20025,34354178096,1,2025-04-21,196003,472,122615,1,2025-04-21
84,3386860032,24,2,12,20033,34920762194,1,2025-02-24,22296,23,301258,2,2025-02-24
85,3386860032,9,1,2,20033,34920762194,1,2024-12-31,293295,5125,301258,1,2024-12-31
86,3386860032,1,2,4,20033,34920762194,1,2024-12-25,3787730,30226,301258,3,2024-12-25
87,3386860032,28,2,1,20033,34920762194,1,2024-03-25,53708,164,301258,1,2024-03-25
88,3386860032,4,1,4,20033,34920762194,1,2025-01-08,3124074,7743,301258,1,2025-01-08
89,3386860032,5,2,1,20033,34920762194,1,2024-02-13,1741877,8123,301258,1,2024-02-13
90,3386860032,24,2,4,20033,34920762194,1,2026-04-24,859529,11946,301258,2,2026-04-24
91,3386860032,28,2,12,20033,34920762194,1,2024-12-13,51884,539,301258,1,2024-12-13
92,3386860032,17,2,3,20033,34920762194,1,2026-01-30,2439973,177,301258,1,2026-01-30
93,3386860032,18,1,3,20033,34920762194,1,2025-09-26,2926120,7200,301258,1,2025-09-26
94,3386860032,11,2,11,20033,34920762194,1,2026-06-03,0,0,301258,1,2026-06-03
95,3386860032,8,1,2,20033,34920762194,1,2026-08-24,861615,270,301258,1,2026-08-24
96,3386860032,24,2,13,20033,34920762194,1,2025-04-15,1544173,18601,301258,3,2025-04-15
97,3386860032,29,2,12,20033,34920762194,1,2024-05-22,10556,51,301258,1,2024-05-22
98,8631208977,26,1,4,20018,60927320612,1,2026-06-17,4510752,72717,10382,1,2026-06-17
99,8631208977,24,2,13,20018,60927320612,1,2025-10-28,1115045,11035,10382,1,2025-10-28
100,8631208977,27,2,12,20018,94671914271,1,2024-06-20,97220,1509,0,1,2024-06-20
101,8631208977,4,2,10,20018,60927320612,1,2026-02-11,0,0,10382,1,2026-02-11
102,8631208977,15,1,7,20018,94671914271,1,2025-06-18,137632,1047,0,1,2025-06-18
103,8631208977,28,2,3,20018,60927320612,5,2024-10-14,646524,3393,10382,1,2024-10-14
104,8631208977,11,1,11,20018,94671914271,1,2026-08-25,0,0,0,1,2026-08-25
105,8631208977,22,1,11,20018,94671914271,1,2026-02-25,0,0,0,1,2026-02-25
106,8631208977,17,1,10,20018,60927320612,1,2025-11-12,0,0,10382,1,2025-11-12
107,8631208977,12,1,11,20018,60927320612,1,2026-06-10,0,0,10382,1,2026-06-10
108,8631208977,8,1,7,20018,94671914271,1,2025-09-26,337273,5546,0,1,2025-09-26
109,8631208977,21,1,10,20018,94671914271,1,2025-06-26,0,0,0,1,2025-06-26
110,8631208977,2,2,2,20018,60927320612,1,2024-09-24,145750,1419,10382,1,2024-09-24
111,6965912761,22,1,10,20042,26818496088,5,2024-09-14,0,0,4937343,1,2024-09-14
112,6965912761,30,2,8,20042,26818496088,1,2025-11-03,388414,5602,4937343,1,2025-11-03
113,6965912761,30,1,8,20042,54739113141,1,2025-03-27,669851,5914,19681198,1,2025-03-27
114,6965912761,25,2,12,20042,54739113141,3,2025-03-15,21571,127,19681198,1,2025-03-15
115,6965912761,5,2,1,20042,26818496088,3,2026-06-01,906385,15731,4937343,1,2026-06-01
116,6965912761,16,1,7,20042,26818496088,1,2025-06-10,135070,1610,4937343,1,2025-06-10
117,6965912761,17,1,10,20042,54739113141,1,2025-09-11,0,0,19681198,1,2025-09-11
118,6965912761,20,1,10,20042,54739113141,1,2025-10-15,0,0,19681198,1,2025-10-15
119,5837412281,25,2,4,20042,87028801619,1,2026-02-02,1739180,10426,255490,1,2026-02-02
120,5837412281,14,1,1,20042,87028801619,1,2026-02-08,300743,5626,255490,1,2026-02-08
121,5837412281,26,2,13,20042,87028801619,1,2024-09-13,453268,3418,255490,1,2024-09-13
122,5837412281,7,1,7,20042,87028801619,1,2026-06-16,13715,0,255490,1,2026-06-16
123,5837412281,20,2,10,20042,87028801619,1,2025-04-26,0,0,255490,1,2025-04-26
124,5837412281,3,2,1,20042,87028801619,1,2026-08-27,21238,268,255490,1,2026-08-27
125,5837412281,14,1,6,20042,87028801619,1,2024-06-28,12697,165,255490,1,2024-06-28
126,5837412281,18,1,6,20042,87028801619,1,2026-06-02,7137,23,255490,1,2026-06-02
127,5837412281,5,2,3,20042,87028801619,1,2026-07-18,3703055,49929,255490,1,2026-07-18
128,5837412281,15,1,2,20042,87028801619,1,2026-05-22,843589,16268,255490,1,2026-05-22
129,5837412281,21,1,10,20042,87028801619,1,2026-05-11,0,0,255490,1,2026-05-11
130,5837412281,20,1,3,20042,87028801619,1,2025-04-09,2272243,35774,255490,1,2025-04-09
131,5837412281,1,2,1,20042,87028801619,1,2026-02-20,575053,5406,255490,1,2026-02-20
132,5837412281,1,2,12,20042,87028801619,1,2025-10-30,21051,244,255490,1,2025-10-30
133,5837412281,12,1,10,20042,87028801619,2,2025-06-12,0,0,255490,1,2025-06-12
134,5837412281,26,2,12,20042,87028801619,1,2026-09-18,85746,1089,255490,1,2026-09-18
135,5837412281,29,2,12,20042,87028801619,1,2025-01-19,51314,180,255490,1,2025-01-19
136,5837412281,10,1,11,20042,87028801619,1,2025-06-03,0,0,255490,1,2025-06-03
137,5837412281,27,2,12,20042,87028801619,1,2026-07-15,54574,673,255490,1,2026-07-15
138,5837412281,17,2,10,20042,87028801619,1,2025-01-17,0,0,255490,1,2025-01-17
139,5837412281,32,2,3,20042,87028801619,1,2024-08-06,3923935,13485,255490,2,2024-08-06
140,5837412281,4,2,4,20042,87028801619,1,2025-02-11,26777,273,255490,1,2025-02-11
141,5837412281,17,1,10,20042,87028801619,1,2026-03-31,0,0,255490,1,2026-03-31
142,5837412281,19,1,3,20042,87028801619,1,2026-06-17,4747360,29849,255490,1,2026-06-17
143,5837412281,12,1,10,20042,87028801619,1,2024-06-24,0,0,255490,1,2024-06-24
144,5837412281,3,2,3,20042,87028801619,1,2025-12-06,3992868,2638,255490,1,2025-12-06
145,5837412281,2,2,10,20042,87028801619,3,2025-10-19,0,0,255490,1,2025-10-19
146,5837412281,14,1,7,20042,87028801619,1,2026-01-12,140890,784,255490,1,2026-01-12
147,3549709526,25,1,12,20007,15658610579,1,2025-06-26,72328,781,3739217,1,2025-06-26
148,3549709526,13,1,9,20007,16315942955,1,2026-03-16,631852,1795,134287,1,2026-03-16
149,3549709526,20,1,5,20007,16315942955,5,2026-02-07,134064,222,134287,1,2026-02-07
150,3549709526,29,2,3,20007,15658610579,1,2026-03-08,649671,9951,3739217,1,2026-03-08
151,3549709526,29,2,1,20007,15658610579,1,2026-03-24,495638,2509,3739217,1,2026-03-24
152,3549709526,31,2,3,20007,16315942955,1,2024-09-26,1667895,25842,134287,1,2024-09-26
153,3549709526,6,1,7,20007,16315942955,1,2025-03-26,120912,178,134287,1,2025-03-26
154,3549709526,31,1,3,20007,16315942955,1,2025-05-12,1174508,10600,134287,1,2025-05-12
155,3549709526,24,2,13,20007,15658610579,1,2026-03-21,385408,7230,3739217,1,2026-03-21
156,3549709526,27,2,12,20007,16315942955,1,2026-02-22,36227,104,134287,1,2026-02-22
157,3549709526,23,1,10,20007,15658610579,1,2026-05-31,0,0,3739217,1,2026-05-31
158,3549709526,30,2,3,20007,16315942955,1,2026-04-24,4954950,17319,134287,1,2026-04-24
159,6158167255,32,2,3,20056,96579214440,1,2026-04-03,273389,4886,160765,1,2026-04-03
160,4880530279,4,2,3,20040,25070015778,1,2025-07-03,3852464,11824,181952,1,2025-07-03
161,4880530279,31,2,8,20040,25070015778,1,2025-02-25,722685,8352,181952,1,2025-02-25
162,4880530279,30,1,8,20040,64685997185,1,2024-02-06,122128,1714,105541,1,2024-02-06
163,4880530279,19,1,6,20040,25070015778,1,2025-12-31,10337,28,181952,1,2025-12-31
164,4880530279,8,1,10,20040,64685997185,1,2025-12-01,0,0,105541,1,2025-12-01
165,4880530279,8,1,2,20040,64685997185,1,2026-07-16,120916,1783,105541,1,2026-07-16
166,7110247693,12,1,11,20014,20198646334,1,2024-08-28,0,0,1604867,1,2024-08-28
167,7110247693,15,1,8,20014,20198646334,5,2026-08-27,994943,8554,1604867,1,2026-08-27
168,3781187083,16,2,7,20044,18944481874,1,2025-06-12,409636,2455,2871099,1,2025-06-12
169,3781187083,29,1,1,20044,18944481874,1,2025-06-06,356996,2337,2871099,1,2025-06-06
170,3781187083,28,2,12,20044,18944481874,1,2025-11-19,75073,1240,2871099,1,2025-11-19
171,3781187083,12,1,11,20044,18944481874,1,2025-11-26,0,0,2871099,1,2025-11-26
172,3781187083,22,1,10,20044,18944481874,1,2025-12-24,0,0,2871099,1,2025-12-24
173,3781187083,28,2,3,20044,18944481874,1,2026-02-06,4489273,73624,2871099,1,2026-02-06
174,3781187083,27,2,13,20044,18944481874,4,2024-06-11,1433370,3439,2871099,2,2024-06-11
175,3781187083,23,1,11,20044,18944481874,1,2025-02-05,0,0,2871099,1,2025-02-05
176,3781187083,5,2,12,20044,18944481874,1,2024-01-30,27651,338,2871099,1,2024-01-30
177,3781187083,2,2,10,20044,18944481874,3,2025-07-07,0,0,2871099,1,2025-07-07
178,3781187083,17,1,6,20044,18944481874,1,2025-06-16,6983,53,2871099,1,2025-06-16
179,3781187083,17,2,5,20044,18944481874,1,2026-03-10,187841,1465,2871099,1,2026-03-10
180,3781187083,7,2,2,20044,18944481874,1,2024-08-26,655777,1788,2871099,1,2024-08-26
181,3781187083,10,1,10,20044,18944481874,1,2025-12-13,0,0,2871099,1,2025-12-13
182,3781187083,15,1,8,20044,18944481874,1,2025-02-07,852923,12818,2871099,1,2025-02-07
183,3781187083,13,1,2,20044,18944481874,1,2025-05-01,414562,2714,2871099,1,2025-05-01
184,3781187083,14,1,6,20044,18944481874,1,2026-02-25,13656,236,2871099,1,2026-02-25
185,3781187083,14,1,8,20044,18944481874,1,2024-04-26,985553,13625,2871099,1,2024-04-26
186,3781187083,1,2,3,20044,18944481874,1,2025-03-19,341130,1518,2871099,1,2025-03-19
187,3781187083,29,1,12,20044,18944481874,1,2025-05-11,50020,926,2871099,1,2025-05-11
188,3781187083,20,2,6,20044,18944481874,3,2026-02-21,13817,67,2871099,1,2026-02-21
189,3781187083,3,2,10,20044,18944481874,1,2024-10-07,0,0,2871099,1,2024-10-07
190,8976833782,29,1,1,20023,67338261929,1,2026-04-01,1016965,3456,94631,1,2026-04-01
191,8976833782,18,2,10,20023,30341439389,1,2024-02-12,0,0,71870,1,2024-02-12
192,8976833782,18,1,10,20023,67338261929,3,2024-03-28,0,0,94631,1,2024-03-28
193,8976833782,23,1,10,20023,30341439389,1,2026-07-16,0,0,71870,1,2026-07-16
194,8976833782,19,2,6,20023,67338261929,1,2026-02-12,12751,51,94631,1,2026-02-12
195,8976833782,15,2,9,20023,30341439389,1,2024-01-08,693811,9941,71870,1,2024-01-08
196,8976833782,3,2,3,20023,67338261929,1,2025-02-13,4999736,4023,94631,1,2025-02-13
197,8976833782,4,2,12,20023,67338261929,1,2026-04-03,87853,788,94631,1,2026-04-03
198,5824262765,11,1,3,20046,86297386479,1,2025-07-30,527544,3824,43762,1,2025-07-30
199,5824262765,27,2,12,20046,86297386479,1,2026-01-17,22368,251,43762,1,2026-01-17
200,5824262765,21,1,10,20046,86297386479,1,2025-04-15,0,0,43762,1,2025-04-15
201,5824262765,12,1,3,20046,86297386479,1,2026-06-07,3633827,45083,43762,1,2026-06-07
202,5824262765,31,2,9,20046,86297386479,1,2025-09-16,800328,6718,43762,1,2025-09-16
203,5824262765,16,2,1,20046,86297386479,1,2025-07-17,1748860,17603,43762,1,2025-07-17
204,5824262765,8,2,7,20046,86297386479,2,2026-06-17,469303,2236,43762,1,2026-06-17
205,7369083097,3,2,2,20058,80682863570,1,2025-12-06,238656,4293,6343888,1,2025-12-06
206,7369083097,17,1,6,20058,80682863570,1,2026-09-16,4200,6,6343888,1,2026-09-16
207,7369083097,9,2,7,20058,59951199185,1,2026-07-11,211660,3282,1412869,1,2026-07-11
208,1572315428,14,1,7,20069,78334909658,1,2024-01-05,418361,5781,50033,1,2024-01-05
209,1572315428,6,1,7,20069,78334909658,1,2025-12-18,201444,3207,50033,1,2025-12-18
210,1572315428,17,1,5,20069,78334909658,1,2024-09-10,25586,431,50033,1,2024-09-10
211,1572315428,24,2,13,20069,78334909658,1,2025-01-24,433845,6360,50033,1,2025-01-24
212,1572315428,26,2,12,20069,78334909658,1,2025-01-27,68897,900,50033,1,2025-01-27
213,1572315428,12,1,3,20069,78334909658,1,2025-07-30,3233589,5442,50033,1,2025-07-30
214,1572315428,17,1,5,20069,78334909658,1,2024-01-19,132372,2331,50033,3,2024-01-19
215,1572315428,27,2,13,20069,78334909658,1,2024-11-22,1290148,23714,50033,1,2024-11-22
216,1572315428,3,2,12,20069,78334909658,1,2024-02-19,73610,118,50033,1,2024-02-19
217,1572315428,2,2,2,20069,78334909658,1,2025-12-27,705733,7151,50033,1,2025-12-27
218,1572315428,16,1,8,20069,78334909658,1,2026-07-06,258705,3633,50033,1,2026-07-06
219,1572315428,6,1,7,20069,78334909658,1,2026-09-22,52726,213,50033,1,2026-09-22
220,1572315428,12,1,3,20069,78334909658,1,2025-07-02,3333763,10171,50033,2,2025-07-02
221,1572315428,1,2,12,20069,78334909658,1,2024-12-18,18032,201,50033,1,2024-12-18
222,1572315428,20,1,6,20069,78334909658,1,2026-06-13,6167,66,50033,1,2026-06-13
223,1572315428,22,1,10,20069,78334909658,1,2024-06-22,0,0,50033,1,2024-06-22
224,1572315428,27,2,12,20069,78334909658,1,2026-09-04,84790,338,50033,1,2026-09-04
225,1572315428,22,1,10,20069,78334909658,1,2026-02-21,0,0,50033,1,2026-02-21
226,1572315428,14,2,1,20069,78334909658,1,2025-08-19,169575,1024,50033,1,2025-08-19
227,1572315428,31,2,9,20069,78334909658,1,2024-06-03,746395,14034,50033,1,2024-06-03
228,1572315428,25,2,4,20069,78334909658,1,2024-02-01,4950224,45925,50033,1,2024-02-01
229,1572315428,17,1,10,20069,78334909658,1,2025-09-27,0,0,50033,1,2025-09-27
230,1572315428,9,1,7,20069,78334909658,1,2025-06-03,140016,1313,50033,1,2025-06-03
231,1572315428,23,1,10,20069,78334909658,1,2026-06-06,0,0,50033,1,2026-06-06
232,1572315428,18,1,3,20069,78334909658,1,2025-12-22,2526305,38938,50033,1,2025-12-22
233,1572315428,22,1,11,20069,78334909658,1,2025-06-18,0,0,50033,1,2025-06-18
234,1572315428,25,1,4,20069,78334909658,1,2024-11-10,3244927,25483,50033,1,2024-11-10
235,1572315428,30,1,3,20069,78334909658,1,2025-07-28,1028442,15528,50033,1,2025-07-28
236,1572315428,32,2,8,20069,78334909658,1,2024-08-20,684092,2674,50033,1,2024-08-20
237,1572315428,23,1,11,20069,78334909658,1,2026-01-10,0,0,50033,1,2026-01-10
238,1572315428,32,2,9,20069,78334909658,1,2025-11-24,722444,11242,50033,1,2025-11-24
239,1572315428,31,1,3,20069,78334909658,1,2026-05-12,2605027,14260,50033,1,2026-05-12
240,8769385780,10,1,5,20021,16793535336,1,2024-01-17,125758,2250,114101,1,2024-01-17
241,8769385780,25,2,4,20021,16793535336,1,2026-04-23,676157,10288,114101,1,2026-04-23
242,8769385780,31,2,8,20021,16793535336,3,2025-09-09,200787,2932,114101,1,2025-09-09
243,8769385780,14,2,6,20021,16793535336,1,2025-08-05,11378,159,114101,1,2025-08-05
244,8769385780,4,2,4,20021,16793535336,1,2025-10-21,2088914,37251,114101,1,2025-10-21
245,8769385780,22,1,10,20021,16793535336,1,2025-08-31,0,0,114101,1,2025-08-31
246,7396213793,2,1,2,20034,80987189206,1,2024-06-29,514929,8309,1166812,1,2024-06-29
247,7396213793,22,1,11,20034,80987189206,1,2025-07-14,0,0,1166812,1,2025-07-14
248,7396213793,8,1,2,20034,80987189206,1,2026-03-18,385224,6383,1166812,1,2026-03-18
249,7396213793,18,1,10,20034,80987189206,1,2025-01-26,0,0,1166812,1,2025-01-26
250,7396213793,31,1,9,20034,80987189206,1,2024-07-29,153297,792,1166812,1,2024-07-29
251,7396213793,10,1,5,20034,80987189206,1,2025-12-20,89933,171,1166812,1,2025-12-20
252,7396213793,1,2,10,20034,80987189206,1,2025-01-31,0,0,1166812,1,2025-01-31
253,7396213793,4,2,10,20034,80987189206,2,2025-10-26,0,0,1166812,1,2025-10-26
254,8371832526,6,1,10,20047,38085193820,1,2024-08-31,0,0,9769,1,2024-08-31
255,8371832526,28,2,1,20047,30309792616,1,2024-10-15,1131244,9682,40807,1,2024-10-15
256,8371832526,24,2,4,20047,38085193820,1,2025-10-31,1636523,19732,9769,1,2025-10-31
257,8371832526,30,2,8,20047,38085193820,1,2026-06-07,29234,274,9769,1,2026-06-07
258,8371832526,10,1,5,20047,30309792616,1,2024-05-08,230570,462,40807,1,2024-05-08
259,8371832526,32,2,9,20047,30309792616,1,2026-06-11,336561,4781,40807,1,2026-06-11
260,8371832526,10,1,5,20047,30309792616,1,2025-03-20,46132,457,40807,1,2025-03-20
261,8371832526,23,1,11,20047,38085193820,1,2025-05-27,0,0,9769,1,2025-05-27
262,8371832526,28,2,12,20047,38085193820,1,2025-03-16,65514,135,9769,1,2025-03-16
263,8271166442,6,1,10,20043,48779301170,1,2025-01-22,0,0,72850,1,2025-01-22
264,8271166442,31,2,8,20043,48779301170,5,2025-09-13,289030,2897,72850,1,2025-09-13
265,8271166442,31,2,3,20043,48779301170,1,2024-09-28,1120263,4021,72850,1,2024-09-28
266,8271166442,31,1,3,20043,48779301170,4,2025-01-03,3092451,43954,72850,1,2025-01-03
267,8271166442,12,1,10,20043,48779301170,1,2024-04-17,0,0,72850,3,2024-04-17
268,8271166442,23,1,11,20043,48779301170,1,2025-12-22,0,0,72850,1,2025-12-22
269,8271166442,21,1,11,20043,48779301170,1,2026-01-01,0,0,72850,1,2026-01-01
270,8271166442,2,1,1,20043,48779301170,1,2026-06-03,1364182,4157,72850,1,2026-06-03
271,8271166442,6,2,10,20043,48779301170,1,2026-06-25,0,0,72850,1,2026-06-25
272,8271166442,9,1,10,20043,48779301170,1,2024-08-16,0,0,72850,1,2024-08-16
273,8271166442,10,1,3,20043,48779301170,1,2026-03-17,3440605,21927,72850,1,2026-03-17
274,8271166442,30,1,8,20043,48779301170,1,2024-07-16,237346,4238,72850,1,2024-07-16
275,8271166442,28,1,1,20043,48779301170,1,2025-04-22,242599,3031,72850,1,2025-04-22
276,8803555409,20,1,3,20050,78581724466,1,2026-07-30,1746597,23639,129622,1,2026-07-30
277,8803555409,26,1,13,20050,78581724466,1,2024-08-07,955594,5102,129622,1,2024-08-07
278,8803555409,11,1,11,20050,78581724466,1,2026-08-04,0,0,129622,1,2026-08-04
279,8803555409,9,1,7,20050,78581724466,1,2025-08-19,150980,798,129622,1,2025-08-19
280,8803555409,24,1,13,20050,40797789282,1,2026-06-03,1231369,19501,102683,1,2026-06-03
281,8803555409,26,2,4,20050,78581724466,1,2025-01-11,1015210,1138,129622,1,2025-01-11
282,8803555409,32,2,8,20050,40797789282,1,2025-12-16,844449,575,102683,1,2025-12-16
283,8803555409,1,2,1,20050,40797789282,1,2025-10-09,1612031,6979,102683,1,2025-10-09
284,8803555409,28,2,12,20050,78581724466,1,2026-07-28,69272,1262,129622,1,2026-07-28
285,8803555409,25,2,4,20050,78581724466,1,2024-09-11,2125665,16579,129622,1,2024-09-11
286,8803555409,23,1,11,20050,40797789282,1,2024-10-14,0,0,102683,1,2024-10-14
287,8803555409,11,1,10,20050,78581724466,1,2026-08-15,0,0,129622,1,2026-08-15
288,8803555409,3,2,10,20050,40797789282,1,2024-06-04,0,0,102683,1,2024-06-04
289,8803555409,20,1,3,20050,40797789282,1,2025-12-16,2004610,18161,102683,1,2025-12-16
290,8803555409,10,1,11,20050,40797789282,1,2024-04-10,0,0,102683,1,2024-04-10
